date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2019-05-01,25,17,0.0,8.7,6,6,12,03:25 AM,03:58 PM,06:28 AM,05:43 PM,16,22,22,21,11,18,76,0.0,1016,25,10,204,8
2019-05-02,26,18,0.0,4.2,5,5,5,04:15 AM,04:33 PM,06:28 AM,05:42 PM,18,22,22,21,9,50,79,1.9,1014,26,10,233,5
2019-05-03,28,19,0.0,7.2,5,5,0,05:07 AM,05:09 PM,06:28 AM,05:42 PM,18,24,24,23,8,52,77,2.1,1015,28,10,235,5
2019-05-04,29,20,0.0,8.7,7,7,0,06:01 AM,05:47 PM,06:29 AM,05:41 PM,18,25,25,23,14,12,72,0.0,1017,29,10,111,8
2019-05-05,27,19,0.0,8.7,5,5,2,06:56 AM,06:28 PM,06:29 AM,05:41 PM,18,24,24,23,16,38,75,4.7,1018,27,10,51,10
2019-05-06,26,19,0.0,7.2,5,5,9,07:54 AM,07:13 PM,06:30 AM,05:40 PM,18,24,24,22,12,51,80,3.1,1017,26,10,213,8
2019-05-07,25,19,0.0,7.2,5,5,17,08:53 AM,08:04 PM,06:30 AM,05:39 PM,18,22,22,21,13,65,84,7.8,1017,25,9,149,9
2019-05-08,23,18,0.0,8.7,6,6,24,09:53 AM,08:59 PM,06:31 AM,05:39 PM,17,20,21,20,27,36,83,0.0,1019,23,10,123,19
2019-05-09,25,16,0.0,5.7,5,5,31,10:52 AM,09:58 PM,06:31 AM,05:38 PM,16,20,20,20,19,71,80,1.2,1017,25,10,117,12
2019-05-10,26,17,0.0,7.2,5,5,39,11:47 AM,10:59 PM,06:32 AM,05:38 PM,18,22,22,21,13,41,83,0.2,1015,26,10,221,8
