date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2019-05-01,11,5,0.0,16.0,3,3,12,05:20 AM,04:29 PM,05:19 AM,09:18 PM,-0,6,8,6,21,32,58,1.1,1003,11,10,225,14
2019-05-02,8,-2,0.0,12.0,2,2,5,05:29 AM,05:47 PM,05:16 AM,09:21 PM,3,3,5,3,18,91,85,24.9,982,8,7,116,13
2019-05-03,4,-1,4.3,13.0,1,1,0,05:39 AM,07:07 PM,05:13 AM,09:23 PM,-5,-3,2,-3,31,76,64,7.5,991,4,8,289,23
2019-05-04,6,-0,0.0,14.8,1,1,0,05:49 AM,08:28 PM,05:10 AM,09:26 PM,-2,-0,3,-0,18,60,70,5.7,1001,6,9,162,13
2019-05-05,6,-0,3.2,16.2,3,3,2,06:01 AM,09:53 PM,05:08 AM,09:28 PM,-1,0,4,0,22,17,73,4.2,1009,6,9,222,15
2019-05-06,8,2,0.0,16.3,3,3,9,06:17 AM,11:17 PM,05:05 AM,09:31 PM,0,2,5,2,21,20,71,0.0,1013,8,10,138,13
2019-05-07,8,3,0.0,16.3,2,2,17,06:40 AM,No moonset,05:02 AM,09:33 PM,-0,3,6,3,23,34,65,0.0,1009,8,10,204,14
2019-05-08,8,3,0.0,16.4,3,3,24,07:14 AM,12:38 AM,05:00 AM,09:36 PM,-0,2,6,2,28,7,66,0.0,1013,8,10,232,18
2019-05-09,10,4,0.0,16.8,3,3,31,08:02 AM,01:48 AM,04:57 AM,09:38 PM,-0,4,7,4,31,14,61,0.0,1018,10,10,98,18
2019-05-10,7,-0,0.0,12.6,2,2,39,09:09 AM,02:42 AM,04:55 AM,09:41 PM,5,3,6,3,21,82,87,1.4,1011,7,7,93,12
